估计零点与真实零点的虚部比较 (前1000个),,,,,虚部误差较大的零点的编号 (前76个),,,各个零点的计算耗时 (前1000个),,,,前N个零点的计算总耗时,,,,
零点序号,估算零点虚部,真实零点虚部,虚部误差,,零点序号,虚部误差,,零点序号,估值计算耗时(秒),Python库计算耗时(秒),,测试对象,估计总耗时(秒),Python库总耗时(秒),(估计)平均每个零点耗时(秒),(库)平均每个零点耗时(秒)
224,431.9762617,432.1386417,0.16238008,,,,,224,3.11E-05,1.36E-01,,,,,,
225,433.8892457,433.8892185,0.00002722,,,,,225,3.82E-05,1.11E-01,,,,,,
226,436.1610468,436.1610064,0.00004034,,,,,226,3.51E-05,1.22E-01,,,,,,
227,437.5816932,437.5816982,0.00000495,,,,,227,3.38E-05,1.24E-01,,,,,,
228,438.6217779,438.6217387,0.00003921,,,,,228,4.28E-05,1.23E-01,,,,,,
229,439.9184513,439.9184422,0.00000909,,,,,229,3.62E-05,1.11E-01,,,,,,
230,441.6832378,441.6831992,0.00003856,,,,,230,4.04E-05,1.17E-01,,,,,,
231,442.9045465,442.9045463,0.00000014,,,,,231,3.92E-05,1.31E-01,,,,,,
232,444.3193751,444.3193363,0.00003878,,,,,232,3.78E-05,1.20E-01,,,,,,
233,446.8606617,446.8606227,0.00003899,,,,,233,3.90E-05,1.18E-01,,,,,,
234,447.4416999,447.4417042,0.00000432,,,,,234,3.32E-05,1.40E-01,,,,,,
235,449.1485873,449.1485457,0.00004158,,,,,235,3.52E-05,1.21E-01,,,,,,
236,450.1269666,450.1269458,0.00002086,,,,,236,3.20E-05,1.30E-01,,,,,,
237,451.4033465,451.4033085,0.00003802,,,,,237,3.22E-05,1.06E-01,,,,,,
238,453.9867767,453.9867378,0.00003884,,,,,238,4.77E-05,1.14E-01,,,,,,
239,454.9746807,454.9746838,0.00000307,,,,,239,3.30E-05,1.07E-01,,,,,,
240,456.3284588,456.3284267,0.0000321,,,,,240,3.29E-05,1.31E-01,,,,,,
241,457.9039106,457.9038931,0.00001755,,,,,241,6.12E-05,1.25E-01,,,,,,
242,460.0879685,459.5134153,0.57455326,,,,,242,3.94E-05,1.25E-01,,,,,,
243,460.0838442,460.0879444,0.00410025,,,,,243,4.52E-05,1.08E-01,,,,,,
244,462.0653998,462.0653673,0.00003255,,,,,244,4.56E-05,1.16E-01,,,,,,
245,464.0573097,464.0572869,0.00002274,,,,,245,4.48E-05,1.03E-01,,,,,,
246,465.6715707,465.6715392,0.00003148,,,,,246,4.91E-05,1.17E-01,,,,,,
247,467.5476176,466.5702869,0.97733064,,,,,247,4.99E-05,1.02E-01,,,,,,
248,467.4390829,467.4390462,0.00003664,,,,,248,5.16E-05,1.03E-01,,,,,,
249,469.5360233,469.5360046,0.0000187,,,,,249,3.97E-05,1.08E-01,,,,,,
250,470.7736799,470.7736555,0.00002445,,,,,250,5.06E-05,1.23E-01,,,,,,
251,472.7991981,472.7991747,0.00002344,,,,,251,3.30E-05,1.12E-01,,,,,,
252,473.8352488,473.8352324,0.00001645,,,,,252,4.12E-05,1.09E-01,,,,,,
253,475.6003605,475.6003394,0.00002112,,,,,253,3.30E-05,1.21E-01,,,,,,
254,476.7690376,476.7690152,0.00002239,,,,,254,6.72E-05,1.05E-01,,,,,,
